[2024-12-16 22:02:46,961] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 22:02:47,158] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 22:02:50,385] 35 root - INFO - Embedding index created successfully.
[2024-12-16 22:03:06,388] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 22:03:06,390] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 22:03:06,445] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 22:03:06,445] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 22:03:09,250] 35 root - INFO - Embedding index created successfully.
[2024-12-16 22:03:09,493] 35 root - INFO - Embedding index created successfully.
[2024-12-16 22:03:20,198] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 22:03:20,198] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 22:03:20,359] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 22:03:20,362] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 22:03:23,330] 35 root - INFO - Embedding index created successfully.
[2024-12-16 22:03:23,362] 35 root - INFO - Embedding index created successfully.
[2024-12-16 22:03:57,055] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 22:03:57,057] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 22:04:00,319] 35 root - INFO - Embedding index created successfully.
[2024-12-16 22:04:52,492] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 22:04:52,494] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 22:04:52,745] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 22:04:52,745] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 22:04:55,699] 35 root - INFO - Embedding index created successfully.
[2024-12-16 22:04:56,104] 35 root - INFO - Embedding index created successfully.
[2024-12-16 22:06:05,044] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 22:06:05,044] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 22:06:07,278] 35 root - INFO - Embedding index created successfully.
[2024-12-16 22:06:22,542] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 22:06:22,542] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 22:06:22,563] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 22:06:22,565] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 22:06:24,726] 35 root - INFO - Embedding index created successfully.
[2024-12-16 22:06:24,836] 35 root - INFO - Embedding index created successfully.
